Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),RADIATOR:Baseboard Total Heating Rate [W](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/27  01:00:00,-11.393333333333335,824.8475815728,0.029023081010416678,63.039757403811467,53.37562339513439,1733.3333333333333,52.649428383544179,65.19242313991787,0.029023081010416678,6240000.000000001 
 01/27  02:00:00,-17.0,1232.7778256972078,0.04526621570833334,63.64184342624079,52.981495474671159,2000.0,52.67496272661713,63.286061265575607,0.04526621570833334,7200000.000000001 
 01/27  03:00:00,-17.0,1318.338493426396,0.04998448439583331,63.18599125769268,52.87619353716039,2000.0,52.8400855438557,62.40755069447592,0.04998448439583331,7200000.000000001 
 01/27  04:00:00,-17.0,1312.3261945702254,0.049994899999999977,62.83080470672207,52.56923836181657,2000.0,52.803900294845387,62.36939948980485,0.049994899999999977,7200000.000000001 
 01/27  05:00:00,-16.948333333333335,1308.6561642957681,0.049994899999999977,62.592120178780088,52.35873077782763,2000.0,52.67376982011767,62.23938807229076,0.049994899999999977,7200000.000000001 
 01/27  06:00:00,-16.796666666666668,1305.5019873074666,0.049994899999999977,62.39439605398055,52.18458751414781,2000.0,52.51667267267937,62.082434657915367,0.049994899999999977,7200000.000000001 
 01/27  07:00:00,-16.648333333333335,1301.2054402743265,0.049994899999999977,62.214322800791617,52.03772113681453,2000.0,52.359012429194489,61.92491866699313,0.049994899999999977,7200000.000000001 
 01/27  08:00:00,-16.18666666666667,1295.8687920243506,0.049994899999999977,62.046716345200049,51.91166711065484,2000.0,52.21149418717907,61.77753540195791,0.049994899999999977,7200000.000000001 
 01/27  09:00:00,-15.386666666666665,1288.111652621846,0.049994899999999977,61.89207672421399,51.8178010657639,2000.0,52.08086189276853,61.64702263730158,0.049994899999999977,7200000.000000001 
 01/27  10:00:00,-14.586666666666665,1251.3145611785526,0.048677326072916648,61.77879982162433,51.724186055484128,2000.0,51.975394538104819,61.81313716279703,0.048677326072916648,7200000.000000001 
 01/27  11:00:00,-13.631666666666665,1114.0483966625134,0.041542637218750007,62.11483657132569,51.61861637803091,2000.0,51.8606551676141,63.39556008369929,0.041542637218750007,7200000.000000001 
 01/27  12:00:00,-12.583333333333334,1013.1412949261788,0.03612131525,62.921151154041279,51.94104918351871,2000.0,51.84616791080164,65.10230428225506,0.03612131525,7200000.000000001 
 01/27  13:00:00,-11.531666666666668,949.7858225070651,0.03256178252604167,63.93593560136944,52.516979815149898,2000.0,51.99665118065187,66.69643801506855,0.03256178252604167,7200000.000000001 
 01/27  14:00:00,-10.845,1300.6946501005812,0.049994899999999977,63.869890672939657,53.70011709486412,2000.0,52.54810367777987,62.11383690919039,0.049994899999999977,7200000.000000001 
 01/27  15:00:00,-10.596666666666664,1267.4667750442977,0.049994899999999977,63.20565151176912,53.29195953000278,2000.0,52.988913918687519,62.55424384898394,0.049994899999999977,7200000.000000001 
 01/27  16:00:00,-10.345,1264.0652320927868,0.049994899999999977,62.94482569642119,53.056747285337497,2000.0,53.09253006543291,62.65776520184056,0.049994899999999977,7200000.000000001 
 01/27  17:00:00,-9.993333333333333,1266.8102178166162,0.049994899999999977,62.811317370522328,52.90143870093138,2000.0,53.06512540407579,62.63038561155957,0.049994899999999977,7200000.000000001 
 01/27  18:00:00,-9.593333333333334,1266.8639532405573,0.049994899999999977,62.71283336808286,52.80261050273589,2000.0,52.994732978628629,62.5600575849811,0.049994899999999977,7200000.000000001 
 01/27  19:00:00,-9.193333333333332,1263.7166782445424,0.049994899999999977,62.62534834507307,52.739940141512608,2000.0,52.92094716570826,62.48633927629387,0.049994899999999977,7200000.000000001 
 01/27  20:00:00,-8.483333333333335,1259.3207515372228,0.049994899999999977,62.54636212740552,52.69519703620153,2000.0,52.8569942313638,62.422444851169668,0.049994899999999977,7200000.000000001 
 01/27  21:00:00,-7.535,1253.0780484702238,0.049994899999999977,62.47755035731104,52.675110028372767,2000.0,52.80759298760854,62.373088804078538,0.049994899999999977,7200000.000000001 
 01/27  22:00:00,-6.583333333333332,1245.5714634923795,0.049994899999999977,62.422171958971059,52.67805638536536,2000.0,52.777323796756949,62.34284730639255,0.049994899999999977,7200000.000000001 
 01/27  23:00:00,-5.893333333333333,1238.4666353603272,0.049994899999999977,62.38293468852649,52.694110143309718,2000.0,52.765900119661448,62.3314340808171,0.049994899999999977,7200000.000000001 
 01/27  24:00:00,-5.545,1233.45525162458,0.049994899999999977,62.359631105678868,52.70948843299026,2000.0,52.76690590226359,62.332438943227817,0.049994899999999977,7200000.000000001 
