Date/Time,Environment:Site Outdoor Air Drybulb Temperature [C](Hourly),ZONE ONE LIGHTS:Lights Electric Energy [J](Hourly),ZONE ONE:Zone Air Temperature [C](Hourly),RADIATOR:Baseboard Hot Water Mass Flow Rate [kg/s](Hourly),RADIATOR:Baseboard Water Inlet Temperature [C](Hourly),RADIATOR:Baseboard Water Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Rate [W](Hourly),DISTRICT HEATING 1:District Heating Inlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Outlet Temperature [C](Hourly),DISTRICT HEATING 1:District Heating Mass Flow Rate [kg/s](Hourly),DistrictHeating:Facility [J](Hourly) 
 01/01  01:00:00,4.0,180000.0,20.3279054547092,0.007809261967773436,59.605132876249857,25.51614035294096,836.552076059628,25.58211027197594,51.21505609424072,0.007809261967773436,3011587.4738146609 
 01/01  02:00:00,5.3,180000.0,20.311461975601529,0.007382059453124999,58.876941892005927,25.280281297488544,791.0175365867024,25.57468788710172,51.21505609424072,0.007382059453124999,2847663.1317121286 
 01/01  03:00:00,6.2,180000.0,20.291600449160435,0.006989033139648436,58.276003771014057,25.08330686720337,774.1923889145058,25.55035504639494,52.05658661350519,0.006989033139648436,2787092.600092221 
 01/01  04:00:00,6.8,180000.0,20.276225785611307,0.006749799731445311,57.77988175211857,24.937843160111734,746.7362505552148,25.5153460750339,51.98774294966439,0.006749799731445311,2688250.5019987735 
 01/01  05:00:00,7.2,180000.0,20.268886107296575,0.006613094926757811,57.332708755534358,24.830705382055088,732.1674233461275,25.474191505554953,51.96672048244335,0.006613094926757811,2635802.724046059 
 01/01  06:00:00,7.5,180000.0,20.263304547336863,0.006527654423828124,56.925887452842328,24.750048311043025,723.979238243292,25.429689318083,51.96887880961275,0.006527654423828124,2606325.257675851 
 01/01  07:00:00,7.5,180000.0,20.261483292263504,0.006544742524414062,56.548636742779269,24.702800300661239,725.0927168924943,25.383941110820837,51.89460637056754,0.006544742524414062,2610333.7808129799 
 01/01  08:00:00,6.7,180000.0,20.270878898218347,0.00689504858642578,56.18764507106897,24.748327757785434,764.7803317064427,25.340545962131907,51.88170781472002,0.00689504858642578,2753209.194143194 
 01/01  09:00:00,6.0,180000.0,20.28302725158556,0.007330795151367187,55.83230810300955,24.82028845844349,811.968074908218,25.303135245515884,51.80699948734003,0.007330795151367187,2923085.0696695849 
 01/01  10:00:00,5.2,180000.0,20.289874160659794,0.007552940458984374,55.48775603258689,24.83925367962188,837.0752132039297,25.27102792891216,51.79083844577233,0.007552940458984374,3013470.767534147 
 01/01  11:00:00,5.2,180000.0,20.26516763552691,0.006903592636718749,55.17752737348423,24.646969546837555,764.3225428963058,25.235461082784935,51.72804062151104,0.006903592636718749,2751561.154426701 
 01/01  12:00:00,5.2,180000.0,20.24289504026534,0.006442213920898436,54.91162520730859,24.47394785121471,714.2092979692854,25.19111567962051,51.71969631394842,0.006442213920898436,2571153.4726894276 
 01/01  13:00:00,5.2,180000.0,20.23854041893055,0.006228612663574218,54.67646883844203,24.36916493048521,690.8992247972219,25.14189604205771,51.68477707941311,0.006228612663574218,2487237.209269999 
 01/01  14:00:00,4.6,180000.0,20.237671967104779,0.0063055091162109379,54.457108098493659,24.35880939574973,698.9482674609044,25.092573445682608,51.61727948677029,0.0063055091162109379,2516213.762859256 
 01/01  15:00:00,4.1,180000.0,20.282265822165713,0.007963054873046875,54.2237960145142,24.72557929114747,882.9974425706222,25.057402526180913,51.59161320443379,0.007963054873046875,3178790.79325424 
 01/01  16:00:00,3.5,180000.0,20.32530777866045,0.009125045712890624,53.963806234734089,24.97035840755765,1009.5000402207143,25.047489562718935,51.52017100453141,0.009125045712890624,3634200.144794571 
 01/01  17:00:00,3.2,180000.0,20.345171295533004,0.009671864931640621,53.70275228843558,25.07516269155901,1069.118318434029,25.05548359131205,51.50647921097331,0.009671864931640621,3848825.9463625049 
 01/01  18:00:00,2.9,180000.0,20.35404278055931,0.009979450742187498,53.45672224812775,25.113164723549536,1101.1691828287583,25.070668778807403,51.47490259948656,0.009979450742187498,3964209.05818353 
 01/01  19:00:00,2.6,180000.0,20.36001017700554,0.010218684150390623,53.23213998148892,25.130697778844654,1127.9986096163097,25.087643898724524,51.501961523681838,0.010218684150390623,4060794.9946187154 
 01/01  20:00:00,2.5,180000.0,20.357311153818434,0.01032121275390625,53.031160091531578,25.12417851741685,1138.4751046698855,25.103519258738108,51.49831375948094,0.01032121275390625,4098510.3768115879 
 01/01  21:00:00,2.4,180000.0,20.35983490111001,0.010406653256835937,52.853776746991169,25.11045819638718,1148.8046605301474,25.116481112152124,51.5320709302177,0.010406653256835937,4135696.7779085307 
 01/01  22:00:00,2.3,180000.0,20.36268879290872,0.010457917558593749,52.698258487805,25.098359638179028,1154.0362140667735,25.126482737651707,51.53227628361752,0.010457917558593749,4154530.3706403847 
 01/01  23:00:00,2.3,180000.0,20.358527146863847,0.01050918186035156,52.56207326424188,25.089301610164449,1160.5651134770178,25.13410175873972,51.559737584671697,0.01050918186035156,4178034.4085172645 
 01/01  24:00:00,2.2,180000.0,20.362188457415085,0.010628798564453125,52.4423922940549,25.088097557530298,1173.3544542854272,25.14027055758731,51.55643523464327,0.010628798564453125,4224076.035427538 
